gene	Oocyte	Zygote	Two-cell	Four-cell	Eight-cell	Morula	Blast
Gm4308	0.000283427445401446	0.00125024215885146	0.00667773215796907	0	0	0	0
Gm9894	0.0235555076131642	0.0178686012390105	0.0828567825485487	0.0679186686237424	0.0363956555284978	0.0385503969725454	0.0915284412045199
Gm6904	0	0	0.00188964538908689	0	0	0.000599267168191565	0
Gm9797	0.00244548933632343	0	0.378383665377802	0.368610794147469	0.292385963517824	0.384608178523009	0.203031152215383
Zfp640	0.0751379652622311	0.132690838609579	0.0563578383034055	0.0228653426051111	0.128542233350659	0.240300278449216	0.153030162466273
Gm5434	0.331651928566472	1.08094619286728	0.103915612776057	0.204810892357992	0.00477228088605716	0.00179189293846783	0
Gm10110	0.00221233432306442	0.000374860172596487	0.680356861689758	0.179327164485378	0.156678047055574	0.0187016046025049	0.0574814057114882
Gm10269	0	0	0.00282853903706415	0	0.00574217495466111	0.000307095921732368	0.000866543617041816
Rpl6l	0.0366827296935399	0.0298193453721881	8.26099427563122e-05	0	0.000291491666913231	0.00182149971190472	0.00453852886174872
Gm8730	0	0	0.0108680043478927	0.031192076368089	0.0380217950382752	0.00979266556484981	0.00808070567192626
Gm379	0.000994326163726432	0.00167075904401063	0.00805530688592356	0.00951572695669827	0.0549563988622424	0.0099716396239217	0.024765036720893
Gm8186	0.118291010670819	0.131027275506007	0.060321743743049	0.0802907795030457	0.0307011184538908	0.0337415422701425	0.0475831047965469
Gm5117	0.00906626013287015	0.00677923971193438	1.57795779890664	0.33196355145562	0	0.00330101651272041	0
Gm10036	0.000237190424005611	0	0	0	0.0026065816023959	0.000903226652900145	0.00415771876525496
Gm6483	0	0.000353508733707706	0.00156682125643593	0	0.00105803764453296	0.000804635279163446	0.0226867865808874
Gm10263	0.0302241712646832	0.0263166164844035	0.20314126156086	0.207172675865612	0.417282319121468	0.231671174743397	0.985122351335948
Gm10784	0	0	0.0165277473086599	0	0	0	0
Gm5449	0	0	0.000199487751958863	0	0.000225690159108449	0.000255183811319891	3.24950757407942e-05
Gm6096	0	0	0.0027195016970668	0	0.0424598416606046	0	0
Gm17541	0.000949553635869092	0.00358497451118734	0	0	0	0	3.06643953168387e-05
Gm5239	0.00397082169241486	0.00672822494733907	0.00043521405606876	0	0.000482516211341565	0.00378127521725796	0.0578970107326995
Gm5612	0	0	0.576108486268676	0.641394544581727	0.0756583188099095	0.138379299591936	0.00431383912297409
Rps12-ps3	0.0501533574086935	0	1.18137750269351	1.63376847934204	2.11516270695032	0.366161126591833	1.85917612440193
Gm7104	0.0502064799864237	0.0266416981819989	0.158296624446283	0.0395387883183166	0.00351065250307495	0.00896142556452349	0
Rps18-ps3	0	0	0.00838398104067124	0.000498502385790968	0.0249609750128855	0.000331895679586529	0.00229514754320353
Rpl36-ps3	0	0	0.00567374190586675	0.00144578008468286	0.00353827198408629	0.00084094560348437	0.00299088948941069
Gm8074	0.00269916545671117	0.00467622389859955	0	0	0.00466531165797567	0	0
Gm5786	0	0	0.0208332173207558	0.00160441317107069	0.0171796420469499	0.00742149782034038	0.00260776416188475
Gm10330	0.000403365866700881	0	0.0116640972877621	0.0385622971823549	0.15084321840461	0.0591340868383515	0.12196467181156
